human_geneid,human_EnsemblID,human_Symbol,human_type_of_gene,human_description,mouse_EnsemblID,mouse_geneid,mouse_Symbol
11144,ENSG00000100206,DMC1,protein-coding,DNA meiotic recombinase 1,ENSMUSG00000022429,13404,Dmc1
11145,ENSG00000176485,PLAAT3,protein-coding,phospholipase A and acyltransferase 3,ENSMUSG00000060675,225845,Plaat3
11146,ENSG00000174842,GLMN,protein-coding,"glomulin, FKBP associated protein",ENSMUSG00000029276,170823,Glmn
11147,ENSG00000197568,ANKRD13C-DT,ncRNA,ANKRD13C divergent transcript,NA,NA,NA
11148,ENSG00000114455,HHLA2,protein-coding,HHLA2 member of B7 family,NA,102639684,Gm35938
11149,ENSG00000112276,BVES,protein-coding,blood vessel epicardial substance,ENSMUSG00000071317,23828,Bves
11151,ENSG00000102879,CORO1A,protein-coding,coronin 1A,ENSMUSG00000030707,12721,Coro1a
11152,ENSG00000196998,WDR45,protein-coding,WD repeat domain 45,ENSMUSG00000039382,54636,Wdr45
11153,ENSG00000198855,FICD,protein-coding,FIC domain protein adenylyltransferase,ENSMUSG00000053334,231630,Ficd
11154,ENSG00000100478,AP4S1,protein-coding,adaptor related protein complex 4 subunit sigma 1,ENSMUSG00000020955,11782,Ap4s1
11155,ENSG00000122367,LDB3,protein-coding,LIM domain binding 3,ENSMUSG00000021798,24131,Ldb3
11156,ENSG00000184489,PTP4A3,protein-coding,protein tyrosine phosphatase 4A3,ENSMUSG00000059895,19245,Ptp4a3
11157,ENSG00000164167,LSM6,protein-coding,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",ENSMUSG00000031683,78651,Lsm6
11158,ENSG00000079974,RABL2B,protein-coding,"RAB, member of RAS oncogene family like 2B",ENSMUSG00000022621,68708,Rabl2
11160,ENSG00000147475,ERLIN2,protein-coding,ER lipid raft associated 2,ENSMUSG00000031483,244373,Erlin2
11161,ENSG00000133935,ERG28,protein-coding,ergosterol biosynthesis 28 homolog,ENSMUSG00000021252,58520,Erg28
11162,ENSG00000170917,NUDT6,protein-coding,nudix hydrolase 6,ENSMUSG00000050174,229228,Nudt6
11163,ENSG00000173598,NUDT4,protein-coding,nudix hydrolase 4,ENSMUSG00000020029,71207,Nudt4
11164,ENSG00000165609,NUDT5,protein-coding,nudix hydrolase 5,ENSMUSG00000025817,53893,Nudt5
11165,ENSG00000272325,NUDT3,protein-coding,nudix hydrolase 3,ENSMUSG00000024213,56409,Nudt3
11166,ENSG00000125285,SOX21,protein-coding,SRY-box transcription factor 21,ENSMUSG00000061517,223227,Sox21
11167,ENSG00000163430,FSTL1,protein-coding,follistatin like 1,ENSMUSG00000022816,14314,Fstl1
11168,ENSG00000164985,PSIP1,protein-coding,PC4 and SRSF1 interacting protein 1,ENSMUSG00000028484,101739,Psip1
11169,ENSG00000198554,WDHD1,protein-coding,WD repeat and HMG-box DNA binding protein 1,ENSMUSG00000037572,218973,Wdhd1
11170,ENSG00000168309,FAM107A,protein-coding,family with sequence similarity 107 member A,ENSMUSG00000021750,268709,Fam107a
11171,ENSG00000023734,STRAP,protein-coding,serine/threonine kinase receptor associated protein,ENSMUSG00000030224,20901,Strap
11172,ENSG00000120210,INSL6,protein-coding,insulin like 6,ENSMUSG00000050957,27356,Insl6
11173,ENSG00000136378,ADAMTS7,protein-coding,ADAM metallopeptidase with thrombospondin type 1 motif 7,ENSMUSG00000032363,108153,Adamts7
11174,ENSG00000049192,ADAMTS6,protein-coding,ADAM metallopeptidase with thrombospondin type 1 motif 6,ENSMUSG00000046169,108154,Adamts6
11176,ENSG00000076108,BAZ2A,protein-coding,bromodomain adjacent to zinc finger domain 2A,ENSMUSG00000040054,116848,Baz2a
11177,ENSG00000198604,BAZ1A,protein-coding,bromodomain adjacent to zinc finger domain 1A,ENSMUSG00000035021,217578,Baz1a
11178,ENSG00000061337,LZTS1,protein-coding,leucine zipper tumor suppressor 1,ENSMUSG00000036306,211134,Lzts1
11179,ENSG00000198839,ZNF277,protein-coding,zinc finger protein 277,ENSMUSG00000055917,246196,Zfp277
11180,ENSG00000178252,WDR6,protein-coding,WD repeat domain 6,ENSMUSG00000066357,83669,Wdr6
11181,ENSG00000118094,TREH,protein-coding,trehalase,ENSMUSG00000032098,58866,Treh
11182,ENSG00000160326,SLC2A6,protein-coding,solute carrier family 2 member 6,ENSMUSG00000036067,227659,Slc2a6
11183,ENSG00000012983,MAP4K5,protein-coding,mitogen-activated protein kinase kinase kinase kinase 5,ENSMUSG00000034761,399510,Map4k5
11184,ENSG00000104814,MAP4K1,protein-coding,mitogen-activated protein kinase kinase kinase kinase 1,ENSMUSG00000037337,26411,Map4k1
11185,ENSG00000241644,INMT,protein-coding,indolethylamine N-methyltransferase,ENSMUSG00000003477,21743,Inmt
11186,ENSG00000068028,RASSF1,protein-coding,Ras association domain family member 1,ENSMUSG00000010067,56289,Rassf1
11187,ENSG00000184363,PKP3,protein-coding,plakophilin 3,ENSMUSG00000054065,56460,Pkp3
11188,ENSG00000010322,NISCH,protein-coding,nischarin,ENSMUSG00000021910,64652,Nisch
11189,ENSG00000159409,CELF3,protein-coding,CUGBP Elav-like family member 3,ENSMUSG00000028137,78784,Celf3
11190,ENSG00000126001,CEP250,protein-coding,centrosomal protein 250,ENSMUSG00000038241,16328,Cep250
11193,ENSG00000120688,WBP4,protein-coding,WW domain binding protein 4,ENSMUSG00000022023,22380,Wbp4
11194,ENSG00000197150,ABCB8,protein-coding,ATP binding cassette subfamily B member 8,ENSMUSG00000028973,74610,Abcb8
11196,ENSG00000107651,SEC23IP,protein-coding,SEC23 interacting protein,ENSMUSG00000055319,207352,Sec23ip
11197,ENSG00000156076,WIF1,protein-coding,WNT inhibitory factor 1,ENSMUSG00000020218,24117,Wif1
11198,ENSG00000092201,SUPT16H,protein-coding,"SPT16 homolog, facilitates chromatin remodeling subunit",ENSMUSG00000035726,114741,Supt16
11199,ENSG00000109511,ANXA10,protein-coding,annexin A10,ENSMUSG00000031635,26359,Anxa10
11200,ENSG00000183765,CHEK2,protein-coding,checkpoint kinase 2,ENSMUSG00000029521,50883,Chek2
11201,ENSG00000101751,POLI,protein-coding,DNA polymerase iota,ENSMUSG00000038425,26447,Poli
11202,ENSG00000129455,KLK8,protein-coding,kallikrein related peptidase 8,ENSMUSG00000064023,259277,Klk8
11211,ENSG00000111432,FZD10,protein-coding,frizzled class receptor 10,ENSMUSG00000081683,93897,Fzd10
11212,ENSG00000147471,PLPBP,protein-coding,pyridoxal phosphate binding protein,ENSMUSG00000031485,114863,Plpbp
11213,ENSG00000090376,IRAK3,protein-coding,interleukin 1 receptor associated kinase 3,ENSMUSG00000020227,73914,Irak3
11214,ENSG00000170776,AKAP13,protein-coding,A-kinase anchoring protein 13,ENSMUSG00000066406,75547,Akap13
11215,ENSG00000023516,AKAP11,protein-coding,A-kinase anchoring protein 11,ENSMUSG00000022016,219181,Akap11
11216,ENSG00000108599,AKAP10,protein-coding,A-kinase anchoring protein 10,ENSMUSG00000047804,56697,Akap10
11218,ENSG00000064703,DDX20,protein-coding,DEAD-box helicase 20,ENSMUSG00000027905,53975,Ddx20
11219,ENSG00000183479,TREX2,protein-coding,three prime repair exonuclease 2,ENSMUSG00000031372,24102,Trex2
11221,ENSG00000143507,DUSP10,protein-coding,dual specificity phosphatase 10,ENSMUSG00000039384,63953,Dusp10
11222,ENSG00000114686,MRPL3,protein-coding,mitochondrial ribosomal protein L3,ENSMUSG00000032563,94062,Mrpl3
11224,ENSG00000136942,RPL35,protein-coding,ribosomal protein L35,ENSMUSG00000062997,66489,Rpl35
11226,ENSG00000139629,GALNT6,protein-coding,polypeptide N-acetylgalactosaminyltransferase 6,ENSMUSG00000037280,207839,Galnt6
11227,ENSG00000136542,GALNT5,protein-coding,polypeptide N-acetylgalactosaminyltransferase 5,ENSMUSG00000026828,241391,Galnt5
11228,ENSG00000123094,RASSF8,protein-coding,Ras association domain family member 8,ENSMUSG00000030259,71323,Rassf8
11230,ENSG00000243279,PRAF2,protein-coding,PRA1 domain family member 2,ENSMUSG00000031149,54637,Praf2
11231,ENSG00000025796,SEC63,protein-coding,"SEC63 homolog, protein translocation regulator",ENSMUSG00000019802,140740,Sec63
11232,ENSG00000256525,POLG2,protein-coding,"DNA polymerase gamma 2, accessory subunit",ENSMUSG00000020718,50776,Polg2
11234,ENSG00000110756,HPS5,protein-coding,HPS5 biogenesis of lysosomal organelles complex 2 subunit 2,ENSMUSG00000014418,246694,Hps5
11235,ENSG00000114209,PDCD10,protein-coding,programmed cell death 10,ENSMUSG00000027835,56426,Pdcd10
11236,ENSG00000170881,RNF139,protein-coding,ring finger protein 139,ENSMUSG00000037075,75841,Rnf139
11237,ENSG00000101236,RNF24,protein-coding,ring finger protein 24,ENSMUSG00000048911,51902,Rnf24
11238,ENSG00000169239,CA5B,protein-coding,carbonic anhydrase 5B,ENSMUSG00000031373,56078,Car5b
11240,ENSG00000117115,PADI2,protein-coding,peptidyl arginine deiminase 2,ENSMUSG00000028927,18600,Padi2
11243,ENSG00000160783,PMF1,protein-coding,polyamine modulated factor 1,ENSMUSG00000028066,67037,Pmf1
11244,ENSG00000165156,ZHX1,protein-coding,zinc fingers and homeoboxes 1,ENSMUSG00000022361,22770,Zhx1
11245,ENSG00000166073,GPR176,protein-coding,G protein-coupled receptor 176,ENSMUSG00000040133,381413,Gpr176
11247,ENSG00000182379,NXPH4,protein-coding,neurexophilin 4,ENSMUSG00000040258,104080,Nxph4
11248,ENSG00000182575,NXPH3,protein-coding,neurexophilin 3,ENSMUSG00000046719,104079,Nxph3
11249,ENSG00000144227,NXPH2,protein-coding,neurexophilin 2,ENSMUSG00000069132,18232,Nxph2
11250,ENSG00000135973,GPR45,protein-coding,G protein-coupled receptor 45,ENSMUSG00000041907,93690,Gpr45
11251,ENSG00000183134,PTGDR2,protein-coding,prostaglandin D2 receptor 2,ENSMUSG00000034117,14764,Ptgdr2
11252,ENSG00000100266,PACSIN2,protein-coding,protein kinase C and casein kinase substrate in neurons 2,ENSMUSG00000016664,23970,Pacsin2
11253,ENSG00000177239,MAN1B1,protein-coding,mannosidase alpha class 1B member 1,ENSMUSG00000036646,227619,Man1b1
11254,ENSG00000268104,SLC6A14,protein-coding,solute carrier family 6 member 14,ENSMUSG00000031089,56774,Slc6a14
11255,ENSG00000101180,HRH3,protein-coding,histamine receptor H3,ENSMUSG00000039059,99296,Hrh3
11258,ENSG00000137100,DCTN3,protein-coding,dynactin subunit 3,ENSMUSG00000028447,53598,Dctn3
11259,ENSG00000168386,FILIP1L,protein-coding,filamin A interacting protein 1 like,ENSMUSG00000043336,78749,Filip1l
11260,ENSG00000184575,XPOT,protein-coding,exportin for tRNA,ENSMUSG00000034667,73192,Xpot
11261,ENSG00000187446,CHP1,protein-coding,calcineurin like EF-hand protein 1,ENSMUSG00000014077,56398,Chp1
11262,ENSG00000079263,SP140,protein-coding,SP140 nuclear body protein,NA,NA,NA
11264,ENSG00000101417,PXMP4,protein-coding,peroxisomal membrane protein 4,ENSMUSG00000000876,59038,Pxmp4
11266,ENSG00000081721,DUSP12,protein-coding,dual specificity phosphatase 12,ENSMUSG00000026659,80915,Dusp12
11267,ENSG00000159210,SNF8,protein-coding,SNF8 subunit of ESCRT-II,ENSMUSG00000006058,27681,Snf8
11269,ENSG00000157349,DDX19B,protein-coding,DEAD-box helicase 19B,ENSMUSG00000033658,234733,Ddx19b
11270,ENSG00000137404,NRM,protein-coding,nurim,ENSMUSG00000059791,106582,Nrm
11272,ENSG00000111215,PRR4,protein-coding,proline rich 4,NA,NA,NA
11273,ENSG00000168488,ATXN2L,protein-coding,ataxin 2 like,ENSMUSG00000032637,233871,Atxn2l
11274,ENSG00000184979,USP18,protein-coding,ubiquitin specific peptidase 18,ENSMUSG00000030107,24110,Usp18
11275,ENSG00000109466,KLHL2,protein-coding,kelch like family member 2,ENSMUSG00000031605,77113,Klhl2
11276,ENSG00000275066,SYNRG,protein-coding,synergin gamma,ENSMUSG00000034940,217030,Synrg
11277,ENSG00000213689,TREX1,protein-coding,three prime repair exonuclease 1,ENSMUSG00000049734,22040,Trex1
11278,ENSG00000118922,KLF12,protein-coding,KLF transcription factor 12,ENSMUSG00000072294,16597,Klf12
11279,ENSG00000102349,KLF8,protein-coding,KLF transcription factor 8,ENSMUSG00000041649,245671,Klf8
11280,ENSG00000168356,SCN11A,protein-coding,sodium voltage-gated channel alpha subunit 11,ENSMUSG00000034115,24046,Scn11a
11281,ENSG00000106536,POU6F2,protein-coding,POU class 6 homeobox 2,ENSMUSG00000009734,218030,Pou6f2
11282,ENSG00000161013,MGAT4B,protein-coding,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",ENSMUSG00000036620,103534,Mgat4b
11283,ENSG00000186526,CYP4F8,protein-coding,cytochrome P450 family 4 subfamily F member 8,NA,NA,NA
11284,ENSG00000039650,PNKP,protein-coding,polynucleotide kinase 3'-phosphatase,ENSMUSG00000002963,59047,Pnkp
11285,ENSG00000027847,B4GALT7,protein-coding,"beta-1,4-galactosyltransferase 7",ENSMUSG00000021504,218271,B4galt7
11309,ENSG00000137491,SLCO2B1,protein-coding,solute carrier organic anion transporter family member 2B1,ENSMUSG00000030737,101488,Slco2b1
11311,ENSG00000136631,VPS45,protein-coding,vacuolar protein sorting 45 homolog,ENSMUSG00000015747,22365,Vps45
11313,ENSG00000011009,LYPLA2,protein-coding,lysophospholipase 2,ENSMUSG00000028670,26394,Lypla2
11314,ENSG00000167851,CD300A,protein-coding,CD300a molecule,ENSMUSG00000034652,217303,Cd300a
11315,ENSG00000116288,PARK7,protein-coding,Parkinsonism associated deglycase,ENSMUSG00000028964,57320,Park7
11316,ENSG00000105669,COPE,protein-coding,COPI coat complex subunit epsilon,ENSMUSG00000055681,59042,Cope
11317,ENSG00000124232,RBPJL,protein-coding,recombination signal binding protein for immunoglobulin kappa J region like,ENSMUSG00000017007,19668,Rbpjl
11318,ENSG00000166856,GPR182,protein-coding,G protein-coupled receptor 182,ENSMUSG00000058396,11536,Gpr182
11319,ENSG00000122882,ECD,protein-coding,ecdysoneless cell cycle regulator,ENSMUSG00000021810,70601,Ecd
11320,ENSG00000071073,MGAT4A,protein-coding,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",ENSMUSG00000026110,269181,Mgat4a
11321,ENSG00000198522,GPN1,protein-coding,GPN-loop GTPase 1,ENSMUSG00000064037,74254,Gpn1
11322,ENSG00000141524,TMC6,protein-coding,transmembrane channel like 6,ENSMUSG00000025572,217353,Tmc6
11325,ENSG00000198231,DDX42,protein-coding,DEAD-box helicase 42,ENSMUSG00000020705,72047,Ddx42
11326,ENSG00000155659,VSIG4,protein-coding,V-set and immunoglobulin domain containing 4,ENSMUSG00000044206,278180,Vsig4
11328,ENSG00000122642,FKBP9,protein-coding,FKBP prolyl isomerase 9,ENSMUSG00000029781,27055,Fkbp9
11329,ENSG00000112079,STK38,protein-coding,serine/threonine kinase 38,ENSMUSG00000024006,106504,Stk38
11330,ENSG00000162438,CTRC,protein-coding,chymotrypsin C,NA,NA,NA
11331,ENSG00000215021,PHB2,protein-coding,prohibitin 2,ENSMUSG00000004264,12034,Phb2
11332,ENSG00000097021,ACOT7,protein-coding,acyl-CoA thioesterase 7,ENSMUSG00000028937,70025,Acot7
11333,ENSG00000106244,PDAP1,protein-coding,PDGFA associated protein 1,ENSMUSG00000029623,231887,Pdap1
11334,ENSG00000114383,TUSC2,protein-coding,"tumor suppressor 2, mitochondrial calcium regulator",ENSMUSG00000010054,80385,Tusc2
11335,ENSG00000122565,CBX3,protein-coding,chromobox 3,ENSMUSG00000029836,12417,Cbx3
11336,ENSG00000180104,EXOC3,protein-coding,exocyst complex component 3,ENSMUSG00000034152,211446,Exoc3
11337,ENSG00000170296,GABARAP,protein-coding,GABA type A receptor-associated protein,ENSMUSG00000018567,56486,Gabarap
11338,ENSG00000063244,U2AF2,protein-coding,U2 small nuclear RNA auxiliary factor 2,ENSMUSG00000030435,22185,U2af2
11339,ENSG00000104147,OIP5,protein-coding,Opa interacting protein 5,ENSMUSG00000072980,70645,Oip5
11340,ENSG00000120699,EXOSC8,protein-coding,exosome component 8,ENSMUSG00000027752,69639,Exosc8
11341,ENSG00000164106,SCRG1,protein-coding,stimulator of chondrogenesis 1,ENSMUSG00000031610,20284,Scrg1
11342,ENSG00000082996,RNF13,protein-coding,ring finger protein 13,ENSMUSG00000036503,24017,Rnf13
11343,ENSG00000074416,MGLL,protein-coding,monoglyceride lipase,ENSMUSG00000033174,23945,Mgll
11344,ENSG00000247596,TWF2,protein-coding,twinfilin actin binding protein 2,ENSMUSG00000023277,23999,Twf2
11345,ENSG00000034713,GABARAPL2,protein-coding,GABA type A receptor associated protein like 2,ENSMUSG00000031950,93739,Gabarapl2
11346,ENSG00000171992,SYNPO,protein-coding,synaptopodin,ENSMUSG00000043079,104027,Synpo
22794,ENSG00000108349,CASC3,protein-coding,CASC3 exon junction complex subunit,ENSMUSG00000078676,192160,Casc3
22795,ENSG00000087303,NID2,protein-coding,nidogen 2,ENSMUSG00000021806,18074,Nid2
22796,ENSG00000135775,COG2,protein-coding,component of oligomeric golgi complex 2,ENSMUSG00000031979,76332,Cog2
22797,ENSG00000105967,TFEC,protein-coding,transcription factor EC,ENSMUSG00000029553,21426,Tfec
22798,ENSG00000091128,LAMB4,protein-coding,laminin subunit beta 4,NA,NA,NA
22800,ENSG00000133818,RRAS2,protein-coding,RAS related 2,ENSMUSG00000055723,66922,Rras2
22801,ENSG00000137809,ITGA11,protein-coding,integrin subunit alpha 11,ENSMUSG00000032243,319480,Itga11
22802,ENSG00000016602,CLCA4,protein-coding,chloride channel accessory 4,NA,NA,NA
22803,ENSG00000088930,XRN2,protein-coding,5'-3' exoribonuclease 2,ENSMUSG00000027433,24128,Xrn2
22806,ENSG00000161405,IKZF3,protein-coding,IKAROS family zinc finger 3,ENSMUSG00000018168,22780,Ikzf3
22807,ENSG00000030419,IKZF2,protein-coding,IKAROS family zinc finger 2,ENSMUSG00000025997,22779,Ikzf2
22808,ENSG00000158186,MRAS,protein-coding,muscle RAS oncogene homolog,ENSMUSG00000032470,17532,Mras
22809,ENSG00000169136,ATF5,protein-coding,activating transcription factor 5,ENSMUSG00000038539,107503,Atf5
22818,ENSG00000111481,COPZ1,protein-coding,COPI coat complex subunit zeta 1,ENSMUSG00000060992,56447,Copz1
22820,ENSG00000181789,COPG1,protein-coding,COPI coat complex subunit gamma 1,ENSMUSG00000030058,54161,Copg1
22821,ENSG00000185989,RASA3,protein-coding,RAS p21 protein activator 3,ENSMUSG00000031453,19414,Rasa3
22822,ENSG00000139289,PHLDA1,protein-coding,pleckstrin homology like domain family A member 1,ENSMUSG00000020205,21664,Phlda1
22823,ENSG00000143033,MTF2,protein-coding,metal response element binding transcription factor 2,ENSMUSG00000029267,17765,Mtf2
22824,ENSG00000164070,HSPA4L,protein-coding,heat shock protein family A (Hsp70) member 4 like,ENSMUSG00000025757,18415,Hspa4l
22826,ENSG00000126698,DNAJC8,protein-coding,DnaJ heat shock protein family (Hsp40) member C8,ENSMUSG00000054405,68598,Dnajc8
22827,ENSG00000179950,PUF60,protein-coding,poly(U) binding splicing factor 60,ENSMUSG00000002524,67959,Puf60
22828,ENSG00000213079,SCAF8,protein-coding,SR-related CTD associated factor 8,ENSMUSG00000046201,106583,Scaf8
22832,ENSG00000135315,CEP162,protein-coding,centrosomal protein 162,ENSMUSG00000056919,382090,Cep162
22834,ENSG00000198740,ZNF652,protein-coding,zinc finger protein 652,ENSMUSG00000075595,268469,Zfp652
22835,ENSG00000120784,ZFP30,protein-coding,ZFP30 zinc finger protein,NA,NA,NA
22836,ENSG00000164292,RHOBTB3,protein-coding,Rho related BTB domain containing 3,ENSMUSG00000021589,73296,Rhobtb3
22837,ENSG00000082438,COBLL1,protein-coding,cordon-bleu WH2 repeat protein like 1,ENSMUSG00000034903,319876,Cobll1
22838,ENSG00000146083,RNF44,protein-coding,ring finger protein 44,ENSMUSG00000034928,105239,Rnf44
22839,ENSG00000080845,DLGAP4,protein-coding,DLG associated protein 4,ENSMUSG00000061689,228836,Dlgap4
22841,ENSG00000107560,RAB11FIP2,protein-coding,RAB11 family interacting protein 2,ENSMUSG00000040022,74998,Rab11fip2
22843,ENSG00000175175,PPM1E,protein-coding,"protein phosphatase, Mg2+/Mn2+ dependent 1E",ENSMUSG00000046442,320472,Ppm1e
22844,ENSG00000070601,FRMPD1,protein-coding,FERM and PDZ domain containing 1,ENSMUSG00000035615,666060,Frmpd1
22845,ENSG00000175283,DOLK,protein-coding,dolichol kinase,ENSMUSG00000075419,227697,Dolk
22846,ENSG00000071246,VASH1,protein-coding,vasohibin 1,ENSMUSG00000021256,238328,Vash1
22847,ENSG00000168813,ZNF507,protein-coding,zinc finger protein 507,ENSMUSG00000044452,668501,Zfp507
22848,ENSG00000115977,AAK1,protein-coding,AP2 associated kinase 1,ENSMUSG00000057230,269774,Aak1
22849,ENSG00000107864,CPEB3,protein-coding,cytoplasmic polyadenylation element binding protein 3,ENSMUSG00000039652,208922,Cpeb3
22850,ENSG00000101544,ADNP2,protein-coding,ADNP homeobox 2,ENSMUSG00000053950,240442,Adnp2
22852,ENSG00000107890,ANKRD26,protein-coding,ankyrin repeat domain containing 26,NA,NA,NA
22853,ENSG00000164715,LMTK2,protein-coding,lemur tyrosine kinase 2,ENSMUSG00000038970,231876,Lmtk2
22854,ENSG00000162631,NTNG1,protein-coding,netrin G1,ENSMUSG00000059857,80883,Ntng1
22856,ENSG00000131873,CHSY1,protein-coding,chondroitin sulfate synthase 1,ENSMUSG00000032640,269941,Chsy1
22858,ENSG00000112144,CILK1,protein-coding,ciliogenesis associated kinase 1,ENSMUSG00000009828,56542,Cilk1
22859,ENSG00000072071,ADGRL1,protein-coding,adhesion G protein-coupled receptor L1,ENSMUSG00000013033,330814,Adgrl1
22861,ENSG00000091592,NLRP1,protein-coding,NLR family pyrin domain containing 1,ENSMUSG00000069830,195046,Nlrp1a
22862,ENSG00000102531,FNDC3A,protein-coding,fibronectin type III domain containing 3A,ENSMUSG00000033487,319448,Fndc3a
22863,ENSG00000126775,ATG14,protein-coding,autophagy related 14,ENSMUSG00000037526,100504663,Atg14
22864,ENSG00000179912,R3HDM2,protein-coding,R3H domain containing 2,ENSMUSG00000025404,71750,R3hdm2
22865,ENSG00000121871,SLITRK3,protein-coding,SLIT and NTRK like family member 3,ENSMUSG00000048304,386750,Slitrk3
22866,ENSG00000149970,CNKSR2,protein-coding,connector enhancer of kinase suppressor of Ras 2,ENSMUSG00000025658,245684,Cnksr2
22868,ENSG00000118246,FASTKD2,protein-coding,FAST kinase domains 2,ENSMUSG00000025962,75619,Fastkd2
22869,ENSG00000081386,ZNF510,protein-coding,zinc finger protein 510,NA,NA,NA
22870,ENSG00000105063,PPP6R1,protein-coding,protein phosphatase 6 regulatory subunit 1,ENSMUSG00000052296,243819,Ppp6r1
22871,ENSG00000169760,NLGN1,protein-coding,neuroligin 1,ENSMUSG00000063887,192167,Nlgn1
22872,ENSG00000138674,SEC31A,protein-coding,"SEC31 homolog A, COPII coat complex component",ENSMUSG00000035325,69162,Sec31a
22873,ENSG00000134874,DZIP1,protein-coding,DAZ interacting zinc finger protein 1,ENSMUSG00000042156,66573,Dzip1
22874,ENSG00000143850,PLEKHA6,protein-coding,pleckstrin homology domain containing A6,ENSMUSG00000041757,240753,Plekha6
22875,ENSG00000001561,ENPP4,protein-coding,ectonucleotide pyrophosphatase/phosphodiesterase 4,ENSMUSG00000023961,224794,Enpp4
22876,ENSG00000198825,INPP5F,protein-coding,inositol polyphosphate-5-phosphatase F,ENSMUSG00000042105,101490,Inpp5f
22877,ENSG00000175727,MLXIP,protein-coding,MLX interacting protein,ENSMUSG00000038342,208104,Mlxip
22878,ENSG00000153339,TRAPPC8,protein-coding,trafficking protein particle complex subunit 8,ENSMUSG00000033382,75964,Trappc8
22879,ENSG00000103111,MON1B,protein-coding,"MON1 homolog B, secretory trafficking associated",ENSMUSG00000078908,270096,Mon1b
22880,ENSG00000133422,MORC2,protein-coding,MORC family CW-type zinc finger 2,ENSMUSG00000034543,74522,Morc2a
22881,ENSG00000135299,ANKRD6,protein-coding,ankyrin repeat domain 6,ENSMUSG00000040183,140577,Ankrd6
22882,ENSG00000178764,ZHX2,protein-coding,zinc fingers and homeoboxes 2,ENSMUSG00000071757,387609,Zhx2
22883,ENSG00000171603,CLSTN1,protein-coding,calsyntenin 1,ENSMUSG00000039953,65945,Clstn1
22884,ENSG00000047056,WDR37,protein-coding,WD repeat domain 37,ENSMUSG00000021147,207615,Wdr37
22885,ENSG00000173210,ABLIM3,protein-coding,actin binding LIM protein family member 3,ENSMUSG00000032735,319713,Ablim3
22887,ENSG00000198815,FOXJ3,protein-coding,forkhead box J3,ENSMUSG00000032998,230700,Foxj3
22888,ENSG00000185019,UBOX5,protein-coding,U-box domain containing 5,ENSMUSG00000027300,140629,Ubox5
22889,ENSG00000132680,KHDC4,protein-coding,"KH domain containing 4, pre-mRNA splicing factor",ENSMUSG00000028060,74200,Khdc4
22890,ENSG00000126804,ZBTB1,protein-coding,zinc finger and BTB domain containing 1,ENSMUSG00000033454,268564,Zbtb1
22891,ENSG00000138311,ZNF365,protein-coding,zinc finger protein 365,ENSMUSG00000037855,216049,Zfp365
22893,ENSG00000140320,BAHD1,protein-coding,bromo adjacent homology domain containing 1,ENSMUSG00000040007,228536,Bahd1
22894,ENSG00000083520,DIS3,protein-coding,"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease",ENSMUSG00000033166,72662,Dis3
22895,ENSG00000089169,RPH3A,protein-coding,rabphilin 3A,ENSMUSG00000029608,19894,Rph3a
22897,ENSG00000110274,CEP164,protein-coding,centrosomal protein 164,ENSMUSG00000043987,214552,Cep164
22898,ENSG00000105339,DENND3,protein-coding,DENN domain containing 3,ENSMUSG00000036661,105841,Dennd3
22899,ENSG00000198844,ARHGEF15,protein-coding,Rho guanine nucleotide exchange factor 15,ENSMUSG00000052921,442801,Arhgef15
22900,ENSG00000105483,CARD8,protein-coding,caspase recruitment domain family member 8,NA,NA,NA
22901,ENSG00000141337,ARSG,protein-coding,arylsulfatase G,ENSMUSG00000020604,74008,Arsg
22902,ENSG00000018189,RUFY3,protein-coding,RUN and FYVE domain containing 3,ENSMUSG00000029291,52822,Rufy3
22903,ENSG00000132640,BTBD3,protein-coding,BTB domain containing 3,ENSMUSG00000062098,228662,Btbd3
22904,ENSG00000064932,SBNO2,protein-coding,strawberry notch homolog 2,ENSMUSG00000035673,216161,Sbno2
22905,ENSG00000072134,EPN2,protein-coding,epsin 2,ENSMUSG00000001036,13855,Epn2
22906,ENSG00000182606,TRAK1,protein-coding,trafficking kinesin protein 1,ENSMUSG00000032536,67095,Trak1
22907,ENSG00000132153,DHX30,protein-coding,DExH-box helicase 30,ENSMUSG00000032480,72831,Dhx30
22908,ENSG00000211456,SACM1L,protein-coding,SAC1 like phosphatidylinositide phosphatase,ENSMUSG00000025240,83493,Sacm1l
22909,ENSG00000198690,FAN1,protein-coding,FANCD2 and FANCI associated nuclease 1,ENSMUSG00000033458,330554,Fan1
22911,ENSG00000085433,WDR47,protein-coding,WD repeat domain 47,ENSMUSG00000040389,99512,Wdr47
22913,ENSG00000125970,RALY,protein-coding,RALY heterogeneous nuclear ribonucleoprotein,ENSMUSG00000027593,19383,Raly
22914,ENSG00000213809,KLRK1,protein-coding,killer cell lectin like receptor K1,ENSMUSG00000030149,27007,Klrk1
22915,ENSG00000138722,MMRN1,protein-coding,multimerin 1,ENSMUSG00000054641,70945,Mmrn1
